Agency Name:,County of Court,Warrant Number,Submitted,Nature of the investigation,Primary Nature,Crime of Violence Options,Secondary Nature,Order Served on,Business Name,Items to be searched for:,Start Date for Info,End Date for Info,Grounds for Issuance,Reasons for Delay (if any),Emergency?,Facts giving rise to the emergency,fn,Submitted Year
Newark Police Department ,Alameda,WAR678073,2021-06-09 15:21:00,Multi jurisdictional robbery series investigation.,Crime of Violence,Robbery, ,Business,Google LLC,Basic subscriber information from a service provider,2021-01-09 00:00:00,2021-02-23 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Newark Police Department,Alameda,WAR655614,2021-02-09 15:56:00,"Search warrant regarding an attempt homicide, assault with a deadly weapon and shooting at an inhabited dwelling/vehicle case.",Crime of Violence,Assault,Gang Related,Business,Google LLC,"Basic subscriber information from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2020-10-30 00:00:00,2020-11-11 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Marina Police Department,Monterey,21SW000247,2021-03-10 12:36:00,"On 02/03/2021, an attempted murder occurred at Del Monte Blvd. / Reservation Rd. Marina CA. A male is suspected of shooting the victim in the arm and fleeing the scene. ",Attempted murder , ,Gang Related,Device Only, ,Google Geofence - Device ID,2021-02-03 00:00:00,2021-02-24 00:00:00,All devices present within the map coordinates incorporated within this Affidavit between:   •	02/03/2021 from 5:10PM PST to 5:2,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Oxnard Police Department,Ventura,1283-21,2021-07-13 14:11:00,Homicide,Homicide, , ,Business,Google LLC,Location information,2021-06-18 00:00:00,2021-06-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Contra Costa, ,2021-06-02 11:25:00,Hi-jack of vehicle and theft of cargo contained therein,Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-05-26 00:00:00,2019-06-03 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Placer,63-021523,2021-01-05 12:51:00,Vehicle fraud / Odometer rollback,Theft/Fraud, , ,Business,Pinger.Com / T-Mobile / Google / Verizon,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-03-01 00:00:00,2020-09-03 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
San Bernardino Police Department,San Bernardino,000063428,2021-07-01 08:37:00,"Homicide investigation from 04-09-21, SBPD Case #2021-00040810",Homicide, , ,Business,Google LLC,"Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-01-01 00:00:00,2021-04-30 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Orange Police Department,Orange,CJC14005,2021-05-25 10:38:00,Residential Burglary Investigation,Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Location information
",2020-12-13 00:00:00,2020-12-13 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"endanger the life or physical safety of an individual
lead to flight from prosecution
lead to destruction of or tampering with evidence
lead to intimidation of potential witnesses
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Amador County District Attorney's Office,Amador, ,2021-06-01 16:28:00,"During the course of the investigation, investigators learned of a possible location where the suspect disposed of a weapon used in a assault.",Crime of Violence,Assault, ,Business,Google LLC,Location information,2020-02-29 00:00:00,2020-02-29 00:00:00,was used as the means of committing a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Upland Police Department,San Bernardino,000062228,2021-06-10 10:55:00,To locate suspect information,Child Exploitation, , ,Business,"Sony Interactive, Google LLC, Verizon  ","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-04-04 00:00:00,2021-06-06 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Orange PD,Orange,14291,2021-07-20 08:08:00,Robbery investigation geofence search warrant,Crime of Violence,Robbery, ,Business,Google LLC,Other transactional and account records from a service provider,2021-03-14 00:00:00,2021-03-14 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Orange PD,Orange, ,2021-07-20 08:17:00,Robbery investigation geofence warrant,Crime of Violence,Robbery, ,Business,Google LLC,"Other transactional and account records from a service provider
Location information
",2021-03-14 00:00:00,2021-03-14 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Orange PD,Orange,14287,2021-07-20 08:20:00,device ID location information after geofence search warrant,Crime of Violence,Robbery, ,Business,Google LLC,Location information,2021-03-14 00:00:00,2021-03-15 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Los Angeles Police Department,Los Angeles,CC2021-92285,2021-06-24 13:43:00,"This is an online fraud scam, which numerous people throughout the country were victimized",Theft/Fraud, , ,Business,"Namecheap.com, Google LLC. and Comcast Cable","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2021-05-17 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Morgan Hill Police Department,Santa Clara, ,2021-07-06 09:37:00,Homicide investigation,Homicide, , ,Business,Google,Location information,2020-05-29 00:00:00,2020-05-29 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Morgan Hill Police Department,Santa Clara, ,2021-07-06 09:47:00,Attempted homicide,Crime of Violence,Assault, ,Business,Google,Basic subscriber information from a service provider,2021-01-05 00:00:00,2021-01-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Woodland Police Department,Yolo,SW#20-432,2021-07-16 08:36:00,"unknown suspect burned multiple vehicles, Google reverse location history warrant was obtained in an effort to locate a suspect.  ",ARSON, , ,Device Only, ,Basic subscriber information from a service provider,2020-11-09 00:00:00,2020-11-09 00:00:00,was used as the means of committing a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Woodland Police Department,Yolo,SW#21-80,2021-07-16 08:47:00,"Multiple catalytic converter theft investigation, I obtained a Google reverse location history search warrant to located similar Google accounts at all locations",Theft/Fraud, , ,Device Only, ,Basic subscriber information from a service provider,2020-05-30 00:00:00,2020-06-04 00:00:00,was used as the means of committing a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Woodland Police Department,Yolo,SW#21-290,2021-07-16 08:51:00,Unknown suspect robbed a bank and fled in a vehicle.  Google reverse location history warrant was obtained in an effort to identify suspect.  ,Crime of Violence,Robbery, ,Device Only, ,Basic subscriber information from a service provider,2020-11-18 00:00:00,2020-11-20 00:00:00,was used as the means of committing a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Oakland PD,Alameda,war671557,2021-07-27 14:23:00,Homicide investigation,Homicide, , ,Business,Google,"Other transactional and account records from a service provider
Location information
",2021-04-10 00:00:00,2021-04-17 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
San Francisco Police Department,San Francisco, ,2021-08-05 10:17:00,Incident involves victim being tricked into sending approx 100k to suspect who postured to be a business that victim has done business before.  Suspect used gmail account to conduct scam,Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-11-27 00:00:00,2020-01-14 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
", ,No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Alameda,WAR616480,2021-03-04 10:11:00,Theft of computer product at a facility in Hayward.,Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Location information
",2020-06-27 00:00:00,2020-06-27 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Alameda,WAR616638,2021-01-28 09:04:00,"Theft of high value computer components from a warehouse in Hayward, CA.  Case was similar in nature to multiple other cases across the state.",Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2018-05-17 00:00:00,2018-08-09 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Alameda,WAR552225,2021-01-14 09:16:00,Theft by unknown suspects of a trailer containing brand new Harley Davidson Motorcycles,Theft/Fraud, , ,Business,Google LLC,Location information,2019-08-18 00:00:00,2019-08-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Marina Police Department ,Monterey,19-823,2021-02-25 08:37:00,"Subjects had forced entry into several businesses throughout Monterey county, and stole ATM Machines.  Due to the narrow time frame between events, a Google Geofence warrant was written to assist in identifying possible suspects.  ",Theft/Fraud, , ,Device Only, ,ID number for subscribers in the area ,2019-04-04 00:00:00,2019-04-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Rohnert Park DPS,Sonoma, ,2021-01-11 11:22:00,"Internet crimes against children report was forwarded to Rohnert Park Police, with information about uploaded files of suspected child pornography.  Search warrants were written in an attempt to identify the person using the accounts related to the images. ",Child Exploitation, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-10-05 00:00:00,2021-01-04 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Napa County Sheriff's Department,Napa,SW20-373,2021-01-06 09:08:00,Send harmful matter to a child,Child Exploitation, , ,Business,"Snap, Google, Verizon","Basic subscriber information from a service provider
Other transactional and account records from a service provider
",2020-08-11 00:00:00,2020-08-14 00:00:00,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Chula Vista Police Department,San Diego,2013301304-CVPD-DGL-,2021-04-09 08:04:00,This search warrant was written to discover the account holder information for the email address hotwriter@gmail.com,Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-03-15 00:00:00,2020-04-15 00:00:00,was used as the means of committing a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Orange County District Attorney's Office,Orange,,2021-01-05 16:13:00,Fraudulent application for unemployment benefits.,Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2020-03-01 00:00:00,2020-12-22 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
San Diego Police Department,San Diego, ,2021-02-23 09:19:00,Identity theft.,Theft/Fraud, ,ID Theft,Business,Google,"Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-11-25 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
San Diego PD,San Diego, ,2021-02-01 14:39:00,ID Theft,Theft/Fraud, ,ID Theft,Business,Google,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
",2020-01-01 00:00:00,2020-11-05 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Long Beach PD,Los Angeles, ,2021-08-03 08:43:00,187 Investigation,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2021-03-07 00:00:00,2021-06-08 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Long Beach PD,Los Angeles, ,2021-07-29 16:39:00,Murder investigation where a victim was shot and killed.,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2021-07-11 00:00:00,2021-07-12 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Long Beach PD,Los Angeles, ,2021-07-29 16:29:00,Murder where a victim was shot.,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2021-06-15 00:00:00,2021-06-23 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Long Beach PD,Los Angeles, ,2021-02-19 12:52:00,Murder investiation,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2020-02-18 00:00:00,2020-02-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
San Luis Obispo County Sheriff's Office,San Luis Obispo,14802,2021-05-19 10:50:00,Homicide,Homicide, , ,Business,Google LLC,"Basic subscriber information from a service provider
Location information
",2020-01-01 00:00:00,2021-05-11 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
Long Beach Police Department,Los Angeles,,2021-02-12 18:19:00,Attempt to identify suspect in a homicide investigation.,Homicide, , ,Business,Google,"Basic subscriber information from a service provider
Location information
",2018-07-21 00:00:00,2018-07-21 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Susanville Police Department,Lassen,21-079,2021-05-13 19:47:00,ICAC referred this case to our jurisdiction ,Child Exploitation, , ,Business,Google INC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-03-01 00:00:00,2021-04-26 00:00:00,"tends to show that sexual exploitation of a child, in violation of Penal Code Section 311.3 has occurred or is occurring",lead to flight from prosecution,No, ,electronic-search-warrant-notifications.csv,2021
"California State University, Long Beach Police Department",Los Angeles,LB21S855,2021-06-24 12:21:00,PC 487 - grant theft,Theft/Fraud, , ,Business,Google LLC,Basic subscriber information from a service provider,2021-04-01 00:00:00,2021-06-15 00:00:00,"was stolen or embezzled
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Placer,63-022007,2021-06-02 13:04:00,Theft of computers out of cargo vehicle.,Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Location information
",2021-03-18 00:00:00,2021-03-18 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Oxnard Police Department,Ventura, ,2021-01-13 08:19:00,ID theft - credit card account opened and email and phone number unknown to victim is only lead,Computer Crime Fraud, ,ID Theft,Business,Google and Sprint,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-08-15 00:00:00,2020-09-30 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Oxnard Police Department,Ventura, ,2021-06-16 10:27:00,ID theft - opening new accounts online,"Computer Crime Fraud
Theft/Fraud
", ,ID Theft,Business,Lumen Technologies for Centurylink; AT&T; Google & 3 banks,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
",2021-02-01 00:00:00,2021-05-31 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Oxnard Police Department,Ventura, ,2021-07-29 16:04:00,Skimmers on Bank of America ATM,Theft/Fraud, ,ID Theft,Business,Google LLC,Basic subscriber information from a service provider,2021-04-15 00:00:00,2021-04-15 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Orange County District Attorneys Office,Orange,13840,2021-03-02 14:27:00,Email account used to apply for fraudulent benefits.,Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Communications (email, text, voice mail, or other communication)
",2020-03-01 00:00:00,2020-12-21 00:00:00,"was used as the means of committing a felony
is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery
",lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Sacramento Police Department,Sacramento, ,2021-03-01 12:15:00,vulgar phone communications,Threats/Harassment, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Communications (email, text, voice mail, or other communication)
",2020-02-16 00:00:00,2021-03-01 00:00:00,is possessed by a person with the intent to use it as a eans of committing a public offense or is possessed by another to whom he or she may have delivered it for the purposes of concealing it or preventing its discovery, ,No, ,electronic-search-warrant-notifications.csv,2021
Simi Valley PD,Ventura, ,2021-06-16 14:53:00,Residential burglary,Burglary, , ,Business,"T-Mobile, Sprint, Metro PCS, Verizon, AT&T, Google",Tower dump,2021-05-05 00:00:00,2021-05-05 00:00:00,"was stolen or embezzled
was used as the means of committing a felony
",otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2021
Tulare County  District Attorney's Office,Tulare,00016667,2021-02-09 12:28:00,The victim had two locations that became the target of theft.  A cell phone was suspected being used to assist in the crime.,Theft/Fraud, , ,Business,Google LLC,"Location information
devices that connected to Google GPS
",2020-09-26 00:00:00,2020-10-09 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Sunnyvale Department of Public Safety,Santa Clara, ,2021-03-04 16:05:00,The search warrant was issued in accordance with a shooting investigation with a limited geolocation and timeframe searched. ,Crime of Violence,Assault, ,Business,Google,Location information,2021-01-03 00:00:00,2021-01-02 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Sunnyvale Department of Public Safety,Santa Clara, ,2021-03-17 15:15:00,Sunnyvale shooting investigation,Crime of Violence,Assault, ,Business,Google,Location information,2021-01-03 00:00:00,2021-01-03 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
Humboldt State University Police Department,Humboldt,SW2100278,2021-04-14 10:40:00,"This warrant was issued for records associated with a Google account; that account was associated with the suspect(s) who committed a felony (PC 422-Criminal Threats) and records associated with the acount may provide evidence of the felony, and aid in the identification of the suspect(s).",Threats/Harassment, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
",2021-01-17 00:00:00,2021-01-19 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2021
Humboldt State University Police Department,Humboldt,SW2100406,2021-05-04 16:47:00,"This warrant was issued for records associated with a Google account; that account was associated with the suspect(s) who committed a felony (PC 422-Criminal Threats) and records associated with the account may provide evidence of the felony, and aid in the identification of the suspect(s).",Threats/Harassment, , ,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2019-03-03 00:00:00,2021-01-19 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,otherwise seriously jeopardize an investigation or unduly delay a trial,No, ,electronic-search-warrant-notifications.csv,2021
Orange County Sheriff's Department,Orange, ,2021-03-08 14:26:00,BEC resulting in the loss of funds.,Theft/Fraud, , ,Business,Google and TextNow,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-01-01 00:00:00,2021-02-17 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Orange County Sheriff's Department,Orange, ,2021-04-27 08:30:00,Account takeover of victim's US Bank account.,Theft/Fraud, , ,Business,"Google, LLC; T-Mobile, USA; US Bank, N.A.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-01-01 00:00:00,2021-04-22 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Walnut Creek Police Department,Contra Costa, ,2021-03-26 14:17:00,"Fraud, dependent adult investigation",Theft/Fraud, , ,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2018-02-24 00:00:00,2021-03-06 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Walnut Creek Police Department,Contra Costa, ,2021-03-26 14:21:00,Fraud Investigation ,Theft/Fraud, , ,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-06-01 00:00:00,2020-06-10 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Fresno PD,Fresno,000024504,2021-05-26 11:00:00,Victim was killed by girlfriend's family members.,Homicide, ,Domestic Violence,Business,"Google, Inc.","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-11-01 00:00:00,2021-01-07 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony, ,No, ,electronic-search-warrant-notifications.csv,2021
"Butte County District Attorney's Office - ODA - Oroville, CA",Butte,BSW21-132,2021-03-18 15:47:00,EDD Fraud,Theft/Fraud, , ,Business,Google LLC,"Communications (email, text, voice mail, or other communication)",2020-07-10 00:00:00,2020-12-30 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
Santa Clara County DA,Santa Clara,None,2021-03-19 16:31:00,Fraud,Theft/Fraud, , ,Business,Google,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Addressing information (pen register or trap and trace)
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2020-03-01 00:00:00,2021-03-18 00:00:00,"was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
", ,No, ,electronic-search-warrant-notifications.csv,2021
Mountain View Police Department,Santa Clara, ,2021-06-03 13:55:00,A suspect took over victims' phone accounts and subsequently took over their cryptocurrency accounts and stole cryptocurrency. ,Theft/Fraud, ,ID Theft,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
",2021-01-01 00:00:00,2021-05-26 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Mountain View Police Department,Santa Clara, ,2021-06-03 14:14:00,"The suspect took over the victims' phone accounts and subsequently took over their cryptocurrency accounts and stole cryptocurrency.
",Theft/Fraud, ,ID Theft,Business,Google LLC,"Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Communications (email, text, voice mail, or other communication)
",2021-01-01 00:00:00,2021-05-31 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,lead to destruction of or tampering with evidence,No, ,electronic-search-warrant-notifications.csv,2021
Los Gatos Monte Sereno Police Department,Santa Clara,CSW608-09,2021-03-22 14:35:00,Multiple commercial burglaries. Google geofence warrant used in an attempt to ID suspects.,Theft/Fraud, , ,Business,Google,Location information,2021-12-20 00:00:00,2021-12-20 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to flight from prosecution
lead to destruction of or tampering with evidence
",No, ,electronic-search-warrant-notifications.csv,2021
California Highway Patrol,Alameda,WAR659767,2021-06-02 09:39:00,Theft of computers from cargo vehicle.,Theft/Fraud, , ,Business,Google LLC,"Basic subscriber information from a service provider
Location information
",2021-03-01 00:00:00,2021-03-01 00:00:00,tends to show that a felony has been committed or that a particular person has committed a felony,"lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
",No, ,electronic-search-warrant-notifications.csv,2021
